season,mean_wind_15m_ms,p90_wind_15m_ms,mean_rotor_rpm,mean_aero_torque_nm,mean_capture_fraction,mean_h
Amihan,4.15526584186351,6.27429908691075,94.0253443008381,4.69911126364122,0.824093364197531,9.78860727887627
Transition_DryDown,3.66917990832876,5.82696971932575,93.5973476832925,3.6877471656938,0.849672906602254,9.39623453211611
Habagat,3.33313883259043,4.96949988644904,99.6045382897562,3.25753614492593,0.882931086824529,9.81649146182552
Transition_Rampup,2.80584840850924,4.27459868359728,85.2633734626106,2.35416234769426,0.895415173237754,8.36963942109138
