case,hour_of_year,season,u_mean_ms,u_prime_ms,u_total_ms,theta_deg,omega_rad_s,rotor_rpm,cp_effective,aero_torque_nm,generator_torque_nm,electrical_power_kw,hourly_energy_kwh,mean_ring_vrel_ms,peak_ring_vrel_ms,peak_sector_deg,particle_capture_fraction,particle_mean_h,domega_dt
cut_in_edge,3793,Habagat,2.12508013104513,0.375166155331098,2.50024628637623,240.4,10.0008324809199,95.5009154623428,0.293035648802684,1.25624442301621,0.466735984933433,0.00410953110036371,0.00410953110036371,7.71047040726427,10.0008249502074,300,0.977777777777778,8.8416213200892,-0.000293582757796298
typical_operating,6516,Habagat,3.41075361032744,0.546445248277393,3.95719885860483,261,15.8286938849391,151.15289246859,0.298491303779606,3.11489937046605,1.84546369999499,0.0262462041434914,0.0262462041434914,12.2036457265099,15.8282672411647,280,1,14.7310895456686,0.000562516744700558
design_operating,8534,Amihan,6.09897997609953,-0.0621610667719403,6.03681890932759,1.9,23.0383461263252,220,0.148705855738707,7.25509815651964,0,0,0,17.8101942235511,23.3131187620153,180,0.911111111111111,29.8311798495383,0
upper_speed_case,1476,Transition_DryDown,7.15089464096687,-0.342034717696707,6.80885992327017,24.3,23.0383461263252,220,0.135427313972886,9.29891313418724,0,0,0,17.9563129490571,24.0872550060537,155,1,12.8154195004741,0
