hour_of_year,season,u_mean_ms,u_prime_ms,omega_rad_s,omega_cross_r_ms,tsr,cp_effective,v_rel_ms,v_rel_mag_ms,particle_density,n_inner,n_outer,h_capture,dh_dt,capture_alert
14,Amihan,2.911359779531832,0.32818047117976484,11.645439118127328,8.734079338595496,3.0,0.3,-5.494539087883899,5.494539087883899,0.0,0,0,0.0,0.0,0
15,Amihan,4.048277649640978,0.18926076212373108,16.193110598563912,12.144832948922934,3.0,0.3,-7.907294537158225,7.907294537158225,0.15,0,12,0.045,1.2499999999999999e-05,0
16,Amihan,5.450830536130765,-0.4683857596150967,21.80332214452306,16.352491608392295,3.0,0.3,-11.370046831876627,11.370046831876627,0.0,0,0,0.0,-1.2499999999999999e-05,1
17,Amihan,6.024602171512951,0.2221576774530526,24.0984086860518,18.073806514538852,2.9999999999999996,0.3,-11.827046665572848,11.827046665572848,0.0,0,0,0.0,0.0,0
18,Amihan,6.577123005584686,-0.6306688813567286,26.308492022338744,19.73136901675406,3.0,0.3,-13.784914892526102,13.784914892526102,0.0,0,0,0.0,0.0,0
19,Amihan,7.023389833104163,0.6169698915088787,28.093559332416657,21.07016949931249,3.0000000000000004,0.3,-13.42980977469945,13.42980977469945,0.0,0,0,0.0,0.0,0
20,Amihan,6.9065104258966805,-0.03448138247489453,27.626041703586722,20.71953127769004,3.0,0.3,-13.847502234268255,13.847502234268255,0.0,0,0,0.0,0.0,0
21,Amihan,5.344576529578509,-0.09880110494064095,21.378306118314033,16.033729588735525,2.9999999999999996,0.3,-10.787954164097657,10.787954164097657,0.0125,0,1,0.00375,1.0416666666666667e-06,0
22,Amihan,7.639663071107252,-0.5202072294408677,30.558652284429012,22.91898921332176,3.0000000000000004,0.3,-15.799533371655373,15.799533371655373,0.0,0,0,0.0,-1.0416666666666667e-06,1
23,Amihan,9.892248010015091,1.2093682124659362,39.568992040060365,29.676744030045274,3.0,0.3,-18.575127807564247,18.575127807564247,0.0,0,0,0.0,0.0,0
24,Amihan,8.510945924835756,-0.1315192065680452,34.043783699343024,25.532837774507268,3.0,0.3,-17.153411056239555,17.153411056239555,0.0,0,0,0.0,0.0,0
