station,datetime_utc,datetime_ph,synop_raw,wind_speed_ms,wind_direction_deg,wind_unit_code,missing_wind_flag
98747,2023-01-09T18:00:00+00:00,2023-01-10T02:00:00+08:00,AAXX 09181 98747 11460 82201 10240 20231 30005 40091 58019 69941 76086 8362/ 333 83716 88458==,1.000,220.0,1,0
98747,2023-01-10T03:00:00+00:00,2023-01-10T11:00:00+08:00,AAXX 10031 98747 41465 81101 10255 20240 30015 40101 58010 76066 8382/ 333 83616 88458==,1.000,110.0,1,0
98747,2023-01-10T06:00:00+00:00,2023-01-10T14:00:00+08:00,AAXX 10061 98747 11465 83502 10264 20241 39987 40073 57028 60011 70566 8387/ 333 83616 88358==,2.000,350.0,1,0
98747,2023-01-10T09:00:00+00:00,2023-01-10T17:00:00+08:00,AAXX 10091 98747 41465 80101 10250 20239 39993 40079 53006 72584 8387/ 333 83816 88358==,1.000,10.0,1,0
98747,2023-01-10T12:00:00+00:00,2023-01-10T20:00:00+08:00,AAXX 10121 98747 11460 80505 10252 20235 30013 40099 52020 69981 78084 8397/ 333 10265 59012 88358 83915==,5.000,50.0,1,0
98747,2023-01-10T15:00:00+00:00,2023-01-10T23:00:00+08:00,AAXX 10151 98747 42460 81002 10247 20237 30013 40099 50000 8497/ 333 83816 88358 81915==,2.000,100.0,1,0
98747,2023-01-10T18:00:00+00:00,2023-01-11T02:00:00+08:00,AAXX 10181 98747 11450 81001 10239 20233 39994 40080 58019 60041 76186 8462/ 333 84715 88457==,1.000,100.0,1,0
98747,2023-01-14T15:00:00+00:00,2023-01-14T23:00:00+08:00,AAXX 14151 98747 41460 82101 10242 20232 39989 40075 51002 70282 8287/ 333 82816 88358==,1.000,210.0,1,0
98747,2023-01-14T18:00:00+00:00,2023-01-15T02:00:00+08:00,AAXX 14181 98747 11460 81801 10240 20229 39964 40050 58025 60001 70282 8287/ 333 82816 88358==,1.000,180.0,1,0
98747,2023-01-14T21:00:00+00:00,2023-01-15T05:00:00+08:00,AAXX 14211 98747 42460 51201 10240 20226 39974 40060 53010 82870 333 82816 85358==,1.000,120.0,1,0
98747,2023-01-15T03:00:00+00:00,2023-01-15T11:00:00+08:00,AAXX 15031 98747 41470 53602 10285 20243 39990 40076 58004 70544 82870 333 82816 85358==,2.000,360.0,1,0
98747,2023-01-15T18:00:00+00:00,2023-01-16T02:00:00+08:00,AAXX 15181 98747 42460 82201 10250 20240 39987 40073 58009 8287/ 333 82816 88358==,1.000,220.0,1,0
98747,2023-01-16T03:00:00+00:00,2023-01-16T11:00:00+08:00,AAXX 16031 98747 41475 33502 10287 20254 30009 40095 58002 70544 82201 333 82816==,2.000,350.0,1,0
98747,2023-01-16T15:00:00+00:00,2023-01-16T23:00:00+08:00,AAXX 16151 98747 42460 81801 10258 20244 30015 40101 50006 8287/ 333 82816 88358==,1.000,180.0,1,0
98747,2023-01-17T03:00:00+00:00,2023-01-17T11:00:00+08:00,AAXX 17031 98747 41465 63302 10294 20254 30027 40113 50000 70544 83278 333 85272==,2.000,330.0,1,0
98747,2023-01-17T06:00:00+00:00,2023-01-17T14:00:00+08:00,AAXX 17061 98747 41465 73302 10301 20254 39997 40083 57030 70544 83908 333 82816 86272 81915==,2.000,330.0,1,0
98747,2023-01-17T09:00:00+00:00,2023-01-17T17:00:00+08:00,AAXX 17091 98747 41460 82501 10277 20250 30013 40099 52016 78094 8397/ 333 88358 83915==,1.000,250.0,1,0
98747,2023-01-17T12:00:00+00:00,2023-01-17T20:00:00+08:00,AAXX 17121 98747 41460 82202 10268 20254 30023 40109 51010 72594 8387/ 333 10301 58014 83616 88358==,2.000,220.0,1,0
98747,2023-01-17T15:00:00+00:00,2023-01-17T23:00:00+08:00,AAXX 17151 98747 42460 52202 10248 20240 30024 40110 53001 82808 333 82616 85272==,2.000,220.0,1,0
98747,2023-01-17T21:00:00+00:00,2023-01-18T05:00:00+08:00,AAXX 17211 98747 32460 42801 10240 20234 30016 40102 55002 82801 333 56909 82616 84075=,1.000,280.0,1,0
98747,2023-01-18T06:00:00+00:00,2023-01-18T14:00:00+08:00,AAXX 18061 98747 41470 43402 10290 20243 30001 40087 57035 70544 82231 333 82816 83075==,2.000,340.0,1,0
98747,2023-01-18T12:00:00+00:00,2023-01-18T20:00:00+08:00,AAXX 18121 98747 41460 40303 10273 20258 30023 40109 51017 71322 84970 333 10312 58000 84358 81915==,3.000,30.0,1,0
98747,2023-01-18T15:00:00+00:00,2023-01-18T23:00:00+08:00,AAXX 18151 98747 42460 41001 10257 20240 30026 40112 52003 82870 333 82816 84358==,1.000,100.0,1,0
98747,2023-01-18T18:00:00+00:00,2023-01-19T02:00:00+08:00,AAXX 18181 98747 42460 21901 10250 20243 30011 40097 58015 82801 333 82816==,1.000,190.0,1,0
98747,2023-01-19T03:00:00+00:00,2023-01-19T11:00:00+08:00,AAXX 19031 98747 41475 20203 10287 20247 30022 40108 55000 70544 82201 333 82816==,3.000,20.0,1,0
98747,2023-01-19T06:00:00+00:00,2023-01-19T14:00:00+08:00,AAXX 19061 98747 41475 33202 10291 20259 39996 40082 58026 70544 83901 333 83075 81915==,2.000,320.0,1,0
98747,2023-01-19T09:00:00+00:00,2023-01-19T17:00:00+08:00,AAXX 19091 98747 41475 63101 10282 20249 39994 40080 53002 70544 83971 333 82816 86358 81915==,1.000,310.0,1,0
98747,2023-01-19T12:00:00+00:00,2023-01-19T20:00:00+08:00,AAXX 19121 98747 42460 30305 10274 20247 30014 40100 53020 83970 333 10306 59009 83358 81915==,5.000,30.0,1,0
98747,2023-01-19T15:00:00+00:00,2023-01-19T23:00:00+08:00,AAXX 19151 98747 41460 70306 10265 20243 30014 40101 54000 71322 83970 333 82816 87358 81915==,6.000,30.0,1,0
98747,2023-01-19T18:00:00+00:00,2023-01-20T02:00:00+08:00,AAXX 19181 98747 42460 52401 10254 20251 39999 40085 58015 83970 333 82816 85358 81915==,1.000,240.0,1,0
98747,2023-01-20T15:00:00+00:00,2023-01-20T23:00:00+08:00,AAXX 20151 98747 42460 30303 10260 20236 30004 40090 51002 82871 333 82816 83358==,3.000,30.0,1,0
98747,2023-01-20T18:00:00+00:00,2023-01-21T02:00:00+08:00,AAXX 20181 98747 42460 83301 10240 20226 39994 40080 58010 8287/ 333 82816 88358==,1.000,330.0,1,0
98747,2023-01-21T00:00:00+00:00,2023-01-21T08:00:00+08:00,AAXX 21001 98747 11470 61901 10260 20247 30008 40094 52014 60004 72584 82870 333 20240 59006 70000 82816 86358==,1.000,190.0,1,0
98747,2023-01-23T03:00:00+00:00,2023-01-23T11:00:00+08:00,AAXX 23031 98747 31460 60304 10270 20246 30005 40091 58001 70544 82970 333 56990 82915 86358=,4.000,30.0,1,0
98747,2023-01-23T12:00:00+00:00,2023-01-23T20:00:00+08:00,AAXX 23121 98747 11460 80601 10252 20238 39985 40071 52015 69951 76166 8362/ 333 10279 59012 83615 88357==,1.000,60.0,1,0
98747,2023-01-23T15:00:00+00:00,2023-01-23T23:00:00+08:00,AAXX 23151 98747 41460 82301 10245 20241 39991 40077 51006 70262 8387/ 333 83816 88358==,1.000,230.0,1,0
98747,2023-01-24T03:00:00+00:00,2023-01-24T11:00:00+08:00,AAXX 24031 98747 41465 70303 10279 20245 39995 40081 56006 70584 82238 333 82816 84358 85272==,3.000,30.0,1,0
98747,2023-01-24T06:00:00+00:00,2023-01-24T14:00:00+08:00,AAXX 24061 98747 11468 80309 10280 20242 39969 40060 57021 60001 71684 8397/ 333 81816 88358 82915==,9.000,30.0,1,0
98747,2023-01-24T12:00:00+00:00,2023-01-24T20:00:00+08:00,AAXX 24121 98747 11460 80405 10250 20239 30003 40089 58029 60011 76184 8462/ 333 10284 58018 84615 88357==,5.000,40.0,1,0
98747,2023-01-26T18:00:00+00:00,2023-01-27T02:00:00+08:00,AAXX 26181 98747 12460 62301 10238 20231 39985 40071 58017 60001 82870 333 82816 86358==,1.000,230.0,1,0
98747,2023-01-28T15:00:00+00:00,2023-01-28T23:00:00+08:00,AAXX 28151 98747 41460 80304 10260 20246 39998 40084 51003 78082 8397/ 333 82816 88358 83915==,4.000,30.0,1,0
98747,2023-01-29T00:00:00+00:00,2023-01-29T08:00:00+08:00,AAXX 29001 98747 11460 83603 10260 20246 30006 40092 52019 60004 71544 8397/ 333 20246 58004 70000 88358 83915==,3.000,360.0,1,0
98747,2023-01-29T03:00:00+00:00,2023-01-29T11:00:00+08:00,AAXX 29031 98747 41460 60304 10270 20246 30005 40091 58001 70544 82970 333 86358 82915==,4.000,30.0,1,0
98747,2023-01-29T18:00:00+00:00,2023-01-30T02:00:00+08:00,AAXX 29181 98747 42460 83602 10250 20236 39997 40083 58014 8287/ 333 82816 88358==,2.000,360.0,1,0
98747,2023-01-29T21:00:00+00:00,2023-01-30T05:00:00+08:00,AAXX 29211 98747 32460 81201 10248 20231 30000 40086 53003 8287/ 333 56999 82816 88358=,1.000,120.0,1,0
98747,2023-01-30T18:00:00+00:00,2023-01-31T02:00:00+08:00,AAXX 30181 98747 42460 41601 10246 20240 30000 40086 58013 82870 333 82816 84358==,1.000,160.0,1,0
98747,2023-02-01T00:00:00+00:00,2023-02-01T08:00:00+08:00,AAXX 01001 98747 11465 71601 10252 20242 30028 40114 52022 60094 71644 83970 333 20240 58008 70090 82816 86358 81915==,1.000,160.0,1,0
98747,2023-02-01T03:00:00+00:00,2023-02-01T11:00:00+08:00,AAXX 01031 98747 41470 70802 10277 20229 30015 40101 58013 70544 81271 333 81816 86358==,2.000,80.0,1,0
98747,2023-02-01T06:00:00+00:00,2023-02-01T14:00:00+08:00,AAXX 01061 98747 31475 43104 10294 20245 39988 40074 57027 70544 81239 333 56999 81816 83358=,4.000,310.0,1,0
98747,2023-02-04T12:00:00+00:00,2023-02-04T20:00:00+08:00,AAXX 04121 98747 11460 83602 10246 20229 30010 40096 52016 60001 78022 8297/ 333 10284 58007 88358 82915==,2.000,360.0,1,0
98747,2023-02-05T00:00:00+00:00,2023-02-05T08:00:00+08:00,AAXX 05001 98747 11470 52101 10250 20244 30013 40099 52017 69974 70544 82271 333 20232 58000 70007 82816 85358==,1.000,210.0,1,0
98747,2023-02-05T18:00:00+00:00,2023-02-06T02:00:00+08:00,AAXX 05181 98747 42460 62101 10240 20234 30000 40086 58015 82870 333 82816 86358==,1.000,210.0,1,0
98747,2023-02-10T12:00:00+00:00,2023-02-10T20:00:00+08:00,AAXX 10121 98747 42460 43607 10268 20244 30001 40097 52006 82870 333 10298 58004 82816 84358==,7.000,360.0,1,0
98747,2023-02-10T18:00:00+00:00,2023-02-11T02:00:00+08:00,AAXX 10181 98747 42460 30901 10252 20235 30006 40092 58017 82270 333 82816 83358==,1.000,90.0,1,0
98747,2023-02-11T00:00:00+00:00,2023-02-11T08:00:00+08:00,AAXX 11001 98747 41475 41501 10254 20243 30027 40113 52019 70544 82230 333 20232 58002 82816 84358==,1.000,150.0,1,0
98747,2023-02-11T18:00:00+00:00,2023-02-12T02:00:00+08:00,AAXX 11181 98747 42460 31201 10240 20226 30011 40097 58012 82201 333 82816 83075==,1.000,120.0,1,0
98747,2023-02-14T09:00:00+00:00,2023-02-14T17:00:00+08:00,AAXX 14091 98747 41430 81801 10239 20235 39989 40075 51008 76166 8462/ 333 84715 88457==,1.000,180.0,1,0
98747,2023-02-14T12:00:00+00:00,2023-02-14T20:00:00+08:00,AAXX 14121 98747 11420 81602 10235 20234 30009 40095 52020 60421 76166 8462/ 333 10267 84715 88457==,2.000,160.0,1,0
98747,2023-02-18T12:00:00+00:00,2023-02-18T20:00:00+08:00,AAXX 18121 98747 11460 82101 10238 20224 39990 40076 52013 60001 71582 8297/ 333 10262 58022 88358 83915==,1.000,210.0,1,0
98747,2023-02-18T18:00:00+00:00,2023-02-19T02:00:00+08:00,AAXX 18181 98747 42460 51801 10232 20226 39985 40071 58015 82870 333 82816 85358==,1.000,180.0,1,0
