hour_of_year,datetime,month,hour_of_day,season,wind_speed_10m_ms,wind_direction_10m_deg,wind_speed_50m_ms,wind_speed_15m_ms,wind_speed_20m_ms,wind_speed_25m_ms,wind_speed_30m_ms,wind_speed_40m_ms,air_temp_c,relative_humidity_pct,air_density_kgm3,outlier_flag,wind_speed_50m_ms_derived,alpha_actual
11,2023-01-01 10:00:00,1,10,Amihan,3.67,33.4,4.19,3.899522040467818,4.071024142543344,4.209228972837341,4.325626259161953,4.515868547457973,27.4,83.19,1.113321410746964,0,4.669175141665867,0.0823325154973899
12,2023-01-01 11:00:00,1,11,Amihan,3.38,30.6,3.79,3.591385421466274,3.749335586320573,3.876619598961911,3.98381927955515,4.15902879847628,27.48,81.95,1.1130251471908992,0,4.300221247637774,0.0711368290226576
13,2023-01-01 12:00:00,1,12,Amihan,3.12,24.4,3.44,3.315125004430407,3.4609251566036057,3.578418091349456,3.677371642666293,3.839103506285797,27.4,81.72,1.113321410746964,0,3.969434997819484,0.0606661920969963
14,2023-01-01 13:00:00,1,13,Amihan,2.74,358.1,2.95,2.911359779531832,3.039402220863423,3.1425851186850995,3.2294866349056544,3.371520386930476,27.13,83.28,1.1143224656986812,0,3.485978171161983,0.0458838762161776
15,2023-01-01 14:00:00,1,14,Amihan,3.81,333.8,4.2,4.048277649640978,4.226322066237096,4.369799015397893,4.49063652517903,4.688136012483618,26.57,87.95,1.116404477512345,0,4.847290814644946,0.0605524049096882
16,2023-01-01 15:00:00,1,15,Amihan,5.13,347.3,6.19,5.450830536130765,5.690559632492467,5.883745130968817,6.046447604768615,6.312372111296839,26.19,92.46,1.1178217077570656,0,6.526667159876267,0.1167049850526728
17,2023-01-01 16:00:00,1,16,Amihan,5.67,358.8,7.12,6.024602171512951,6.289565909596937,6.503086723702377,6.682915773691628,6.976832333538613,26.24,94.04,1.1176350245499185,0,7.213684755652715,0.141489526203483
18,2023-01-01 17:00:00,1,17,Amihan,6.19,10.4,7.96,6.577123005584686,6.866386769030871,7.099489738927287,7.295811047469344,7.616682917919579,26.29,94.35,1.117448403686882,0,7.875257255289297,0.1562619540752769
19,2023-01-01 18:00:00,1,18,Amihan,6.61,16.2,8.74,7.023389833104163,7.332280540112126,7.581199866608944,7.790841845520575,8.133485312996513,26.25,93.31,1.1175976953907816,0,8.409604274226535,0.1735553348444477
20,2023-01-01 19:00:00,1,19,Amihan,6.5,4.5,8.81,6.9065104258966805,7.210260742924178,7.455037690311367,7.661190922221443,7.998132304762078,26.01,91.67,1.1184942839951866,0,8.269656245457258,0.1889387970155374
